Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
UnderMine 2,2025-07-22,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","assassin, monsters, 2d, insects, skeleton, bird, teleportation, giant insects, melee combat, mining, dungeon crawler, explosion, throwing weapons, spider, steam workshop, shopping, explosives, skeletons, rat, melee, shielded enemies, jellyfish, merchants, mod support, branching paths, roguelite, unlockable characters, underground, food, bombs, ranged combat, action roguelike, bouncing, shield, health, monster, spiders, gold, explosive, nextfest june 2025, cave, knife",Thorium,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Killbeat,2025-07-21,,"Shooter, Music, Adventure, Indie","Linux, PC (Microsoft Windows)",Action,"roguelike, music and rhythm, roguelite, rhythm game, action roguelike, nextfest june 2025",Kalma Games,Bird view / Isometric,Single player
The King is Watching,2025-07-21,65.3,"Strategy, Indie",PC (Microsoft Windows),"Fantasy, Historical","roguelike, dark fantasy, resource management, pixel art, steam achievements, steam cloud, steam families, nextfest february 2025","tinyBuild, Hypnohead",Bird view / Isometric,Single player
Bulletploop,2025-07-20,,"Shooter, Indie","Android, PC (Microsoft Windows)",,"roguelike, shmup, 2d platformer, action roguelike",3emad0,Side view,
The Showdown: Gorilla vs 100,2025-07-18,,,PC (Microsoft Windows),"Action, Comedy","brawler, ragdoll physics, roguelite, action roguelike",,Third person,"Single player, Multiplayer"
Sea of Dreams Survivors,2025-07-17,,"Role-playing (RPG), Adventure, Indie, Arcade",PC (Microsoft Windows),"Action, Horror, Survival","bullet hell, roguelite, roguelike horror, horde survival",Dezeiraud Games,Bird view / Isometric,Single player
Imaginytes,2025-07-17,,"Role-playing (RPG), Strategy, Adventure, Indie","PC (Microsoft Windows), Mac",Fantasy,"tower defense, roguelike, roguelite, deck-building, roguelike deckbuilder, hex grid, creature collector, card battler",Egome Games,Bird view / Isometric,Single player
Drill Core,2025-07-17,,"Strategy, Indie","PC (Microsoft Windows), Nintendo Switch","Science fiction, Sandbox","roguelike, mining, steam achievements, xbox controller support for pc, steam cloud, controller support, colony simulator, steam deck, digging, steam families","tinyBuild, Hungry Couch Games",Side view,Single player
The Wandering Village,2025-07-17,70.4,"Simulator, Strategy, Indie","Xbox Series X|S, PlayStation 4, Linux, PC (Microsoft Windows), PlayStation 5, Mac, Xbox One, Nintendo Switch","Fantasy, Science fiction, Survival","post-apocalyptic, god game, roguelike, village, steam trading cards, base building, city builder, steam achievements, xbox controller support for pc, steam cloud, controller support, steam deck, steam families",Stray Fawn Studio,Bird view / Isometric,Single player
Lord O' Pirates,2025-07-16,,"Adventure, Indie",PC (Microsoft Windows),"Action, Warfare","sailing, roguelite, pirate, action roguelite","One Flow Man, Treestyle Studios",Bird view / Isometric,Single player
Worship,2025-07-16,,"Strategy, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","dark humor, crowdfunding - kickstarter, cult, roguelite",Chasing Rats Games,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Crypt Keeper,2025-07-15,,"Strategy, Indie",PC (Microsoft Windows),"Action, Fantasy","tower defense, roguelike, cartoon graphics, base building, base defense, roguelite, action roguelike, isometric",Viron Games,Bird view / Isometric,Single player
Becoming Saint,2025-07-15,,"Real Time Strategy (RTS), Simulator, Strategy, Indie","Linux, PC (Microsoft Windows), Mac",Historical,"roguelike, steam achievements, steam cloud, political, steam families","Firesquid, Open Lab Games",Bird view / Isometric,Single player
Lost in Prayer,2025-07-15,,"Role-playing (RPG), Strategy, Tactical, Adventure",PC (Microsoft Windows),Fantasy,"roguelike, dark fantasy, permadeath, dungeon crawling, dungeon crawler, traditional roguelike","Nine Dots Studio, Nine Dots Publishing",,Single player
KindFolx,2025-07-15,,"Adventure, Indie, Card & Board Game","PC (Microsoft Windows), Mac","Action, Fantasy, Comedy","2d, roguelike, permadeath, dungeon crawler, crowdfunding - kickstarter","Tristan Barona, Taco Pizza Cat Games",Bird view / Isometric,Single player
Astro Prospector,2025-07-14,,"Simulator, Strategy, Arcade","Web browser, PC (Microsoft Windows)","Action, Science fiction","casual, retro, space mining, 2d, roguelike, upgradable weapons, resource management, bullet hell, space, management, achievements, upgrade, asteroids, pixel art, pixel graphics, clicker, relaxing, mining, upgradable equipment, time management, boss fight, explosion, steam achievements, xbox controller support for pc, steam cloud, bullet, dualshock 4 support for pc, explosives, upgradeable weapons, resource gathering, laser, skill tree, multiple enemy boss fights, tech trees, comic book cutscene, upgradeable vehicles, achievements for starting the game, controller support, mouse only, incremental game, pixel art game, bossfight, bosses, food, missiles, bombs, action roguelike, comic strip, coffee, idle, hearts, one button game, steam families, spaceships, incremental, dualsense support for pc, no ai, quest, upgrades",Incrementalist,Bird view / Isometric,Single player
Merge Coin: Mai,2025-07-11,,Strategy,"PC (Microsoft Windows), Mac",,"roguelike, sokoban-like, ai-generated coding, puzzles, ai-generated concepts",,Bird view / Isometric,Single player
Cataclysm: The Last Generation,2025-07-11,,"Role-playing (RPG), Simulator, Adventure","Linux, PC (Microsoft Windows)",,"roguelike, traditional roguelike",Worm Girl,Bird view / Isometric,Single player
Death Ring: Second Impact,2025-07-11,,Strategy,PC (Microsoft Windows),Science fiction,"character customization, turn-based, robots, giant monsters, mutants, mecha, turn-based tactics, combat, roguelite, nextfest february 2025",,Bird view / Isometric,Single player
Maze Mice,2025-07-11,,"Indie, Arcade","Linux, Android, PC (Microsoft Windows), iOS, Mac",Action,"retro, cats, time manipulation, bullet time, roguelite, bullet heaven, mice, maze chase, action roguelike",TrampolineTales,Bird view / Isometric,Single player
Aurora Defense,2025-07-11,,"Strategy, Indie",PC (Microsoft Windows),Fantasy,"tower defense, base building, roguelite, roguelike deckbuilder, replayability, deckbuilder, autobattler",Moka Games,Bird view / Isometric,Single player
Striving for Light,2025-07-11,,"Hack and slash/Beat 'em up, Adventure, Indie","Linux, PC (Microsoft Windows)","Action, Sandbox, Mystery","roguelite, arpg, action-rpg",,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Is this a Game yet?,2025-07-10,,"Indie, Arcade",PC (Microsoft Windows),Sandbox,"experimental, roguelike, choose your own adventure, high score, score attack, experimental game, meaningful choices, community driven",,"Text, Auditory","Single player, Co-operative"
M.O.O.D.S.,2025-07-10,,"Shooter, Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Science fiction, Survival, Comedy","roguelike, robots, demo, roguelite, twin stick, free demo, action roguelike","StickyStoneStudio, Erabit Studios",Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
S.R.A,2025-07-08,,"Shooter, Arcade",PC (Microsoft Windows),Action,"roguelike, bullet hell",,Bird view / Isometric,Single player
Goblin Village,2025-07-08,,"Role-playing (RPG), Simulator, Adventure, Indie, Arcade",Playdate,Survival,"roguelike, resource management, management, village, trading, story rich, cat, goblins, unlockables, resource gathering, tribe, settlement building, roguelite, unlockable characters, playdate catalog, food, 1bit, crank controls",,Text,Single player
Vengeance,2025-07-05,,"Shooter, Indie, Arcade",PC (Microsoft Windows),"Action, Science fiction","2d, roguelike, bullet hell, action roguelike",AdeniumGames,Bird view / Isometric,Single player
Fool King,2025-07-04,,"Strategy, Tactical, Indie","PC (Microsoft Windows), Mac",Fantasy,"medieval, roguelike, pvp, dice, deck-building, auto battler, asynchronous multiplayer",Loot Donkey,Bird view / Isometric,Multiplayer
Deck Defense,2025-07-04,,"Strategy, Indie",PC (Microsoft Windows),,"tower defense, casual, roguelike, single-player only, roguelite, deck-building, cards",,Bird view / Isometric,Single player
Novel Rogue,2025-07-03,,"Role-playing (RPG), Strategy, Adventure, Card & Board Game","PlayStation 4, PlayStation 5, Nintendo Switch",,roguelite,Kemco,,Single player
Voden's Job,2025-07-02,,"Strategy, Indie, Card & Board Game","Linux, PC (Microsoft Windows)",Science fiction,"mutation, pixel art, steam achievements, steam cloud, controller support, roguelite, deck-building",Intrugli Games,,Single player
75 Demons,2025-06-30,,"Strategy, Turn-based strategy (TBS), Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, demons, pixel graphics, steam achievements, steam cloud, demon hunter, deck-building, steam families",Noknadiv,,Single player
Meow Tower: Doomsguard,2025-06-29,,"Role-playing (RPG), Simulator, Strategy, Indie",PC (Microsoft Windows),,"cats, roguelite",,,Single player
The Mindvasion,2025-06-26,,Indie,PC (Microsoft Windows),"Action, Survival","casual, bullet hell, pixel art, pixel graphics, steam achievements, roguelite, action roguelike, steam families, nextfest june 2025",Mastodonte,Bird view / Isometric,Single player
WASD Wizard,2025-06-25,,"Real Time Strategy (RTS), Indie",Web browser,Fantasy,"tower defense, wizards, roguelike, upgrade, bats, wizardry, bat, spellcaster, poisoning, spell caster, free, spells, upgrades, keyboard only option",XeAnDev,Bird view / Isometric,Single player
Sector Force,2025-06-25,73.3,"Shooter, Indie, Arcade","Web browser, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Action, Science fiction",roguelike,"y-zo studio, Hyperreality Entertainment, y-zo studio, y-zo studio, Hyperreality Entertainment, Brainium Games",Bird view / Isometric,Single player
Echoes of Spellcraft,2025-06-24,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"casual, roguelike, pixel art, pixel graphics, steam achievements, steam cloud, spellcaster, deck-building, roguelike deckbuilder, card battler, steam families",Fossil Circuit,Bird view / Isometric,Single player
Zombie Rollerz: The Last Ship,2025-06-24,,"Strategy, Adventure, Indie, Arcade","PC (Microsoft Windows), Nintendo Switch",Action,"zombies, tower defense, roguelite",Zing Games Inc.,Bird view / Isometric,Single player
Shuffle Tactics,2025-06-24,,"Role-playing (RPG), Turn-based strategy (TBS), Tactical, Card & Board Game",PC (Microsoft Windows),Fantasy,roguelike,"Club Sandwich, The Arcade Crew",Bird view / Isometric,Single player
Rentlord,2025-06-23,,"Simulator, Strategy, Indie","Linux, PC (Microsoft Windows), Mac",Business,"resource management, pixel graphics, capitalism, roguelite, replay value, nextfest june 2025",,,Single player
Wordatro!,2025-06-23,,"Puzzle, Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),,"roguelike, word game, daily challenge, solo developer, cosy","Abiding Bridge, Le Poulet",Text,Single player
Oxidus Tales,2025-06-19,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),Fantasy,"retro, roguelike, old school, pixel graphics, deliberately retro",Mario Aviles,Bird view / Isometric,Single player
Merge Maestro,2025-06-19,,"Strategy, Indie","Android, PC (Microsoft Windows), iOS, Mac",,"steam cloud, emoji, roguelite, merge game, nextfest june 2025",Stingless,,Single player
CatchaDiablos,2025-06-19,,Indie,Playdate,Action,"demon, roguelike, bullet hell, pinball, space, occult, demons, pixel art, pixel graphics, easter egg, teleportation, high score, boss fight, daily challenge, leaderboard, alien languages, demonic protagonist, bossfight, highscore, bosses, 1bit, action roguelike, power-ups, health, moon, hidden secrets, upgrades, playdate season 2, crank controls, collection log","Amano Games, Panic",Bird view / Isometric,Single player
Become The Moon,2025-06-19,,"Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),Fantasy,"roguelike, roguelite, deck-building, autobattler","Feldspar Games, Alibi Games",Bird view / Isometric,Single player
Autogun Heroes: Supercharged,2025-06-18,,"Shooter, Adventure, Arcade",PC (Microsoft Windows),"Action, Science fiction","aliens, character customization, 2d platformer, roguelite, alien world, rescue mission, retro arcade shooter, sidescroller, nextfest june 2025",Nitro Games,Side view,Single player
Battle Train,2025-06-18,,"Puzzle, Strategy, Tactical, Adventure, Indie, Card & Board Game","PC (Microsoft Windows), Nintendo Switch",,"roguelike, trains, funny, crowdfunding - kickstarter, roguelite, deck-building",Terrible Posture Games,Bird view / Isometric,Single player
Blood Rush,2025-06-18,,"Shooter, Role-playing (RPG), Indie, Arcade",PC (Microsoft Windows),"Action, Fantasy","zombies, hell, roguelike, fast paced, procedural generation, mythology, gods, roguelite, stylish action, weapons, upgrades",maxestla,First person,Single player
Apocalypse Express,2025-06-17,,"Shooter, Strategy, Indie",PC (Microsoft Windows),Action,"rail shooter, vehicular combat, post-apocalyptic, 2d, vehicle simulation, roguelike, resource management, difficult, trains, management, on-rails, upgrade, pixel graphics, combat, upgradable equipment, vehicle combat, xbox controller support for pc, color customization, upgradeable weapons, gun, vehicle customization, resource gathering, upgradeable vehicles, remote play, controller support, roguelite, linear, action roguelike, rails, desert, steam families, top-down, upgrades, nextfest june 2025",Llamaware Studios,Bird view / Isometric,"Single player, Co-operative, Split screen"
Lost in Random: The Eternal Die,2025-06-17,88.2,"Role-playing (RPG), Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Action, Fantasy","roguelike, controller recommendation, controller support, adjustable difficulty, nextfest february 2025, save anytime","Thunderful Publishing, Stormteller Games",Bird view / Isometric,Single player
Blood Sins,2025-06-17,,"Role-playing (RPG), Adventure, Indie","PC (Microsoft Windows), Mac",Fantasy,"exploration, retro, character customization, 3d, roguelike, procedural generation, multiple endings, dungeon crawling, atmospheric, pixel graphics, inventory management, roguelite, action-rpg",JGG Log Studio,First person,Single player
